Extension:      Description:                              Used tool(s):
.eml            E-Mail Message                            [ripmime]
.emz            Windows Compressed Enhanced Metafile      [g(un)zip]
.epk            eCos Package                              [g(un)zip+tar]
.epub           Open eBook File                           [unzip|7z]
.esriAddIn      ESRI ArcGIS Add-in file                   [unzip|7z]
.exe            Inno Setup Installer/Win PE Executable    [innoextract|7z]
.ext2           ext2 Disk Image                           [{cryptsetup|{gdisk|fdisk}}+mount]
.ext3           ext3 Disk Image                           [{cryptsetup|{gdisk|fdisk}}+mount]
.ext4           ext4 Disk Image                           [{cryptsetup|{gdisk|fdisk}}+mount]
.F              Freeze Compressed File                    [(un)freeze]
.fat            FAT Partition File                        [{cryptsetup|{gdisk|fdisk}}+mount]
.fat            Zinf Theme File                           [g(un)zip+tar]
.flac           Free Lossless Audio Codec File            [avconv|ffmpeg]
.flf            Compressed Figlet Font                    [unzip|7z]
.flp            Floppy Disk Image                         [{cryptsetup|{gdisk|fdisk}}+mount]
.flv            Flash Video File                          [avconv|ffmpeg]
.flzp           Very Fast Bytewise LZP Compressed File    [flzp]
.fossil         Fossil Repository                         [fossil]
.fp8            FP8 (= Fast PAQ8) Compressed File         [fp8]
.fwp            Microsoft Expression Web Package          [7z]
.g3x            RealFlight Content File                   [unzip|7z]
.gadget         Windows Sidebar Gadget                    [unzip|7z]
.gc             GostCrypt Volume                          [gostcrypt]
.gem            RubyGems Package                          [tar]
.gg             Google Desktop Gadget File                [unzip|7z]
.gif            Graphical Interchange Format File         [gifsicle]
.gifar          Graphics Interchange Format Java Archive  [<internal>]
.gnumeric       Gnumeric Spreadsheet                      [g(un)zip]
.gnutar         POSIX Tar Archive                         [tar]
.goomod         World of Goo Add-on                       [unzip|7z]
.gpg            GPG Symmetrically Encrypted File          [gpg|gpg2]
.gps            GOM Player Skin File                      [unzip|7z]
.graphmlz       Gzip Compressed GraphML File              [g(un)zip]
.gst            GostCrypt Volume                          [gostcrypt]
.gszip          GameSalad Marketplace Asset File          [unzip|7z]
.gtar           POSIX Tar Archive                         [tar]
.gtp            GNOME Theme Package File                  [g(un)zip+tar]
.gz             Gnu Zipped Archive                        [g(un)zip]
.gz2            Misnamed bz2 File                         [b(un)zip2]
.gzi            Gnu Zipped Archive                        [g(un)zip]
.gzip           Gnu Zipped Archive                        [g(un)zip]
.ha             HA Compressed Archive                     [ha]
.hc             VeraCrypt Volume                          [veracrypt]
.hid            Sony Ericsson Remote Settings File        [tar]
.hfs            HFS Disk Image File                       [{cryptsetup|{gdisk|fdisk}}+mount]
.hfv            HFS Disk Image File                       [{cryptsetup|{gdisk|fdisk}}+mount]
.hme            Windows Mobile Theme File                 [7z]
.hmxz           Help & Manual Compressed Project          [unzip|7z]
.hqx            BinHex 4.0 Encoded File                   [hexbin]
.htmlz          Zipped HTML eBook                         [unzip|7z]
.hwp            Hedgewars Downloadable Content            [unzip|7z]
.i5z            IUCLID 5 Import/Export File               [unzip|7z]
.iar            OpenSimulator Inventory Archive           [g(un)zip+tar]
.icl            Windows Icon Library File                 [7z]
.ico            Windows Icon File                         [icotool]
.igz            Gentoo's InitRam                          [g(un)zip|(un)xz]
.ima            Disk Image                                [{cryptsetup|{gdisk|fdisk}}+mount]
.img            Disk Image                                [{cryptsetup|{gdisk|fdisk}}+mount]
.imz            Zipped .ima                               [unzip|7z]
.ip             IconPackager Theme File                   [unzip|7z]
.ipa            iPod Application                          [unzip|7z]
.ipcc           iPhone Carrier Bundle                     [unzip|7z]
.ipg            iPod Game                                 [unzip|7z]
.ipk            Itsy Package                              [g(un)zip+tar|ar+{b(un)zip|(un)lzma|(un)xz|g(un)zip+tar}|dpkg-deb]
.ipsw           iPod/iPhone Software Update File          [unzip|7z]
.iso            Disc Image File                           [mount+<internal>]
.ita            IconTweaker Theme Archive                 [unzip|7z]
.itz            Compressed Impulse Tracker Module         [unzip|7z]
.iwd            Call of Duty Game Data File               [unzip|7z]
.ja             Renamed .jar (omni.ja)                    [unzip|7z]
.jar            Java Archive File                         [unzip|7z]
.jgz            Gzipped Javascript File                   [g(un)zip]
.jic            Java Icon File                            [unzip|7z]
.jpeg           Steghide Embedded Data                    [steghide]
.jpg            Steghide Embedded Data                    [steghide]
.jsonlz4        Compressed Firefox Bookmarks Backup File  [lz4jsoncat]
.kfo            KFormula Document                         [unzip|7z]
.kgb            KGB Archive File                          [kgb]
.kmz            Google Earth Placemark File               [unzip|7z]
.kpr            KPresenter Document                       [unzip|7z]
.ksf            KMPlayer Skin File                        [unzip|7z]
.ksp            KSpread Spreadsheet                       [unzip|7z]
.kwd            KWord Document                            [unzip|7z]
.lbr            CP/M LBR Archive                          [lbrate]
.lca            SimpleFormat Changeables Graphic          [unzip|7z]
.lemon          LemonShare.net Download                   [(un)rar|7z]
.lha            LZH Compressed File                       [lha|7z]
.little         Mozilla Firefox start-up cache file       [unzip|7z]
.love           LÖVE Game File                            [unzip|7z]
.lpaq1          Lpaq1 Compressed File                     [lpaq1]
.lpaq8          Lpaq8 Compressed File                     [lpaq8]
.lpk            ArcGIS Layer Package                      [unzip|7z]
.lrz            Long Range ZIP                            [lr(un)zip]
.lxf            LEGO Digital Designer Model File          [unzip|7z]
.lz             Lzip Compressed File                      [lzip]
.lz4            Extremely Fast Compression algorithm      [lz4|lz4c]
.lza            LZH Compressed File                       [lha|7z]
.lzh            LZH Compressed File                       [lha|7z]
.lzma           LZMA Compressed File                      [(un)lzma]
.lzo            LZO Compressed File                       [(un)lzop]
.lzx            Amiga LZX Compressed File                 [unlzx]
.maff           Mozilla Archive Format File               [unzip|7z]
.mar            Mozilla Archive                           [b(un)zip2+<internal>]
.mbox           E-mail Mailbox File                       [ripmime]
.mbx            E-mail Mailbox File                       [ripmime]
.mcgame         Minecraft Game Backup File                [unzip|7z]
.mct            MSN Messenger, Packaged Wink File         [7z]
.mcworld        Minecraft World Backup File               [unzip|7z]
.mdf            Media Disc Image File                     [poweriso]
.mds            Media Descriptor File                     [poweriso]
.mdz            Zipped Protracker/Module File             [unzip|7z]
.mdzip          MagicDraw Project Archive                 [unzip|7z]
.mga            Manga Document                            [unzip|7z]
.mht            MHTML Web Archive                         [ripmime]
.mhtml          MHTML Web Archive                         [ripmime]
.mim            Multi-Purpose Internet Mail Extension     [ripmime]
.mime           Multi-Purpose Internet Mail Extension     [ripmime]
.mkv            Matroska Video File                       [avconv|ffmpeg]
